date_mesure,B,C,A,D,E
2012-01-12,-0.9758950971202627,1.2383715184663102,0.562060680244628,-0.4408625738047161,-0.9239761546718428
2012-01-19,-0.9639981214917179,1.2589951375622064,0.4152866993618428,-0.3036613729901006,-1.1230324975077217
2012-01-26,-0.9820349297808899,1.1137118259601677,0.4623482332020206,-0.18868347057119877,-0.9628873521387882
2012-02-02,-1.040159257472329,0.5350878903234102,0.3250778306672767,-0.1419632693760458,-1.1009891060528638
2012-02-09,-1.0376158849947075,0.15729308245876503,0.17342252999782856,-0.16077176068184929,-1.38766139824347
2012-02-16,-1.0536371429204894,0.08186876123094466,0.04047644432241268,-0.1791038184846438,-1.209784510180826
2012-02-23,-1.0605192747778682,0.015096307087041627,-0.054965838916067045,-0.15218343633120263,-0.7289121660793138
2012-03-01,-1.0698956670426218,-0.05782627735392262,-0.13562028062425094,-0.14743676003729955,-0.46361894637410683
2012-03-08,-1.130921952335362,-0.010611054328830694,-0.22211616203899373,-0.19671212816567307,-0.22139925182483455
2012-03-15,-1.1146584504102637,-0.07800679985262798,-0.2559315340765165,-0.19463569985443369,-0.19010200845906566
2012-03-22,-1.1447865711546301,-0.1125828899457815,-0.24573092301802058,-0.19359898489604488,-0.061793808965827035
2012-03-29,-1.1051413146422304,-0.2830241196856009,-0.2650094407260584,-0.17319680382870517,-0.14439714968393297
2012-04-05,-1.108742222521558,-0.28781187689905285,-0.30849622323867376,-0.15839503249614206,-0.1903554932557902
2012-04-12,-1.1444440617606633,-0.24452335826130425,-0.3513920103912722,-0.1430799144235258,-0.03393899413755841
2012-04-19,-1.1100886238233423,0.062705133228461,-0.32928022317209027,-0.11651382915839878,0.2711719719404933
2012-04-26,-1.0885114845387192,0.6076049341244305,-0.10089977429253259,-0.13444011547648965,0.38801858205246254
2012-05-03,-0.9713029143403555,0.8092094171582513,0.23118225614296556,-0.02819667466861142,0.32999945207471504
2012-05-10,-0.9300286144708478,0.41969167745790903,0.20682903594714785,-0.0658365263816324,0.5604663998756158
2012-05-17,-0.8579912041824213,0.3311693028877827,0.14958754762733184,0.029730222189107022,0.40467585938022516
2012-05-24,-0.8780267286818875,0.5650620311952466,0.34895387249703247,0.02871527166934093,0.48205571888926435
2012-05-31,-0.880537009743789,0.13771071418746897,0.22602862294741982,0.04016225653707614,0.5652202401734939
2012-06-07,-0.8303985815333503,0.21392022399541677,0.22359903787952778,0.1114720105460543,0.695060947195475
2012-06-14,-0.849869333016514,0.040274835070838226,0.21584952160844595,0.0633978078420224,0.7942951475312411
2012-06-21,-0.8312439129818134,-0.25635122806064914,0.07185020632379152,0.03179263617363082,0.7976192748155906
2012-06-28,-0.7898727691079896,-0.21013126593698064,-0.01631408299572512,0.0252585522172816,0.8821004914022166
2012-07-05,-0.7617239687811438,-0.2245005580286061,-0.09665203240600154,0.011585537133704332,1.0359466167916975
2012-07-12,-0.8197817957830171,-0.3594594822640118,-0.13487071288212762,-0.01835332518406635,1.1013491114226506
2012-07-19,-0.8263056398256201,-0.5374015638370605,-0.2282780960073506,-0.09298560610819878,1.1537237028226779
2012-07-26,-0.8761229279534832,-0.6680318079783987,-0.3219865541728406,-0.16260878361955616,0.5992586083131691
2012-08-02,-0.9498438057043639,-0.7602121966878489,-0.4061741518074852,-0.201829264698911,1.19770206378704
2012-08-09,-1.0225547288936898,-0.8653192346973424,-0.48338271325101645,-0.25200043928307475,1.2494345020500486
2012-08-16,-1.0868310087837365,-0.9304035796468261,-0.5850066605749102,-0.3334152041172768,1.3568653151093146
2012-08-23,-1.1102518873697829,-0.8073155954853434,-0.6376544938720595,-0.36071260144197687,1.4577182790867398
2012-08-30,-1.1853385978231086,-0.8695359961533132,-0.7157284362277883,-0.42767869598695696,1.578698742192003
2012-09-06,-1.2352051253729035,-0.9778647398884095,-0.7968490133039102,-0.48326750103512245,1.6204700534622456
2012-09-13,-1.2616539815206387,-0.9820381314307933,-0.8718314069045694,-0.5365377529188942,1.6933118848997528
2012-09-20,-1.2645742728603298,-0.8366480305901226,-0.9270863201858891,-0.5371648065446679,1.7367558268962076
2012-09-27,-1.281908460968436,-0.3511909135052953,-0.9091699891655671,-0.560972040608321,1.4331016793180238
2012-10-04,-1.2808124230175615,-0.39399866600942424,-0.9154203816569428,-0.5689399653869646,1.1504111742867256
2012-10-11,-1.224975791349806,0.5419587027468782,-0.7532795403539394,-0.4791314940356469,0.9931254549448518
2012-10-18,-1.1147262834193055,0.09860053114232953,-0.7175382826091984,-0.5100591506490821,0.5174442030240481
2012-10-25,-1.0332142797606456,-0.003127734696131035,-0.7289277017931307,-0.45758012823868066,0.264907102170073
2012-11-01,-1.061699762415505,0.5472883808021471,-0.6404625742386241,-0.4485115858749789,0.18154296317367558
2012-11-08,-1.0801554962355837,0.938397534880508,-0.3780486079446955,-0.43788813658137193,0.07664274620398853
2012-11-15,-1.0624121733502099,0.4848443057440174,-0.29585406765497646,-0.3783388792412777,0.008479409923604075
2012-11-22,-1.0604005302060586,0.3014117535215855,-0.2768618252194859,-0.32683150903005564,-0.15133656161973055
2012-11-29,-1.0198556441553175,0.6751925983509839,-0.03558826482228834,-0.2339739733849971,-0.1685609908318752
2012-12-06,-1.0162392912113258,1.080570399769655,0.3872177379833025,-0.16336640180715228,-0.3364172573870566
2012-12-13,-0.9367720357646008,1.2969162027306664,0.692811048228103,-0.034358460980595695,-0.47562586569544174
2012-12-20,-0.8827878558844131,1.6971639673084993,1.2114191426048344,0.10759646524226985,-0.44370300759494974
2012-12-27,-0.7908694764748658,1.6033098375881023,1.3946934675676146,0.26354798380072897,-0.5140519155132548
2013-01-03,-0.7672184428276357,1.2290501568946217,1.31587227027366,0.25505887751660694,-0.6224484281050008
2013-01-10,-0.6170107257086445,1.1505605320286325,1.3533368210776888,0.44381317134093146,-0.748506277903603
2013-01-17,-0.5416508999510579,1.2457728832574237,1.4351920609729163,0.5739368513888545,-0.9624342496298957
2013-01-24,-0.5844418177214892,1.2417786612690487,1.531142924278783,0.6035364711382508,-0.9882707215040514
2013-01-31,-0.44780340679604613,1.678882108716652,1.7546253317960954,0.8065939495920196,-0.8763455242618892
2013-02-07,-0.24810668971280658,1.7336697653730477,1.9167781865493532,0.9921822918324412,-0.9857999638172859
2013-02-14,-0.15899584239497977,1.366910137881119,1.8484320635805735,1.112921233571324,-1.1576112559335592
2013-02-21,-0.10512543854707723,0.8899304927969318,1.6857943166305673,1.2335183652450412,-1.7042842566859233
2013-02-28,-0.10156340536260666,0.5122833691453361,1.4529052884744458,1.2223755919608954,-1.0968777627801236
2013-03-07,-0.005430636082967455,0.536934093462683,1.348795484533119,1.318445143823788,-0.8375793896463171
2013-03-14,-0.021926331697943335,0.716372705043474,1.3450486374099149,1.3972905700069496,-0.8154391749945068
2013-03-21,0.008497837596660007,0.8792484284559554,1.3598672374767489,1.4007726726656888,-0.6978152282019479
2013-03-28,0.051786411009309474,0.5564660542296564,1.2223938084112733,1.3880340212314026,-0.7044522279103677
2013-04-04,0.02554659691232186,0.2798790678176079,1.061844520605827,1.357129976361099,-0.5687025865417825
2013-04-11,0.0239423342326327,1.0135702484545732,1.2335607414859824,1.3469160616414013,-0.4267964973481281
2013-04-18,0.07055673057271339,0.586005651697453,1.2002512035814592,1.3342689159420167,-0.16566354834631813
2013-04-25,0.13416764498344724,0.8487548373797842,1.2429473827048154,1.4214810742116948,-0.28632046505612196
2013-05-02,0.22934209919563342,1.5146845346356719,1.695059348390651,1.5600999505333135,-0.9486483409657083
2013-05-09,0.3035916243686815,1.0861513197749642,1.6314800248253738,1.6531132694853943,-0.7881307217706586
2013-05-16,0.3589587361884157,1.2437764228573696,1.67202079378644,1.7942032613004044,-0.7763726914802664
2013-05-23,0.38102763105252335,1.5578385184535117,1.8784025104562923,1.8936726085288949,-0.8519017806071221
2013-05-30,0.394904132996593,1.2483764551042733,1.834197131761067,1.9169301645441037,-0.7574538095975902
2013-06-06,0.3864662120565192,0.8163977713251024,1.643449651130553,1.9185513824394258,-0.4582943900904195
2013-06-13,0.4190373992262003,0.5046104098971778,1.384457367451027,1.9097757626555563,-0.6538276757060205
2013-06-20,0.46621339722990207,0.2621157396635866,1.302919256664369,1.8573437190611606,-0.028538748824996962
2013-06-27,0.5003785396663841,-0.0035053679209576805,1.1035145788740495,1.8417334583601628,0.16125811466982953
2013-07-04,0.44663810802431825,0.0008121276899152319,0.9335262704662413,1.7546296711358913,0.24115271964238705
2013-07-11,0.4074914961862394,-0.3527465793865824,0.7531053743172329,1.6598503140730467,0.31576469277930025
2013-07-18,0.3874292173904725,-0.5133298362236602,0.5913738137212539,1.5710006782814327,0.39799590355940834
2013-07-25,0.398905711055798,-0.4848379908007436,0.46528510227641523,1.463896155440972,0.35059659211374294
2013-08-01,0.41163874746047113,-0.5264452815588061,0.35565574409839806,1.417881681829362,0.3523125228404749
2013-08-08,0.37109421834804707,-0.558724928109216,0.22688983646735256,1.3225016349454566,0.4179452630312795
2013-08-15,0.3331942294522816,-0.7567137183513767,0.09461030435924195,1.2178986928320525,0.48639481702486487
2013-08-22,0.33754153482793653,-0.8207113548621779,-0.02314266586804055,1.1434623900766825,0.5395354902452045
2013-08-29,0.2889962930301394,-0.8486875934290066,-0.14718216974081394,1.0140778114228768,0.6192142829914159
2013-09-05,0.3056905635979611,-0.8061444201953128,-0.22002994822625915,0.9802181095070287,0.5903127960597737
2013-09-12,0.3324677058161127,-0.6287925663208712,-0.2727538717667128,0.9384094397927024,0.5269680781339835
2013-09-19,0.3427906397345462,-0.36774187250538987,-0.3151429773273311,0.8348709121911054,0.45723984529649886
2013-09-26,0.38236240342476074,-0.5885728649820599,-0.3548622412393475,0.7935637138803011,0.3365132108760774
2013-10-03,0.31178488185778747,-0.4785060173737493,-0.34639793516410444,0.6803662653394391,0.0036555080269907447
2013-10-10,0.3416973005277077,0.0029082428543993205,-0.3074146187702494,0.6975276263409345,-0.14741358119888037
2013-10-17,0.3606430455152747,0.49314748337984926,-0.2212083509613917,0.6919185930281502,-0.19998250676905494
2013-10-24,0.421399970283219,0.7677153822870852,0.005941558616803344,0.6761328814353601,-0.19039385360240413
2013-10-31,0.5415385792948368,0.8377462224834088,0.2602301246610829,0.7333522498361489,-0.32085523570520547
2013-11-07,0.6393608706797351,1.3443908973089354,0.7747018530478762,0.7826192948977456,-0.4557631062246036
2013-11-14,0.8099905319600981,1.0546272676143074,0.8266489421241804,0.9305202491272949,-0.7829065527853544
2013-11-21,0.7981544090093253,1.0864825646455507,0.8464853367939817,1.0191901361767801,-0.9360475081617736
2013-11-28,0.7737393366243696,0.6822949516290108,0.720015115469605,1.0205376119713256,-0.9582035734396451
2013-12-05,0.7373831813686011,0.3482721108320821,0.5378040643021269,1.0092863151785303,-1.1780292246522643
2013-12-12,0.708459279887766,0.10406545723994162,0.335484882877442,1.0377867200972046,-1.38011256608713
2013-12-19,0.7502365299699025,0.24468803692101795,0.2488702461815988,1.1232963423412636,-1.5138491480436251
2013-12-26,0.8125268967346639,1.2239267206235074,0.6874506664060278,1.2163883868296321,-1.1605298325871964
2014-01-02,0.9988994110878203,1.4121107517717575,1.0248854483335363,1.314013637048449,-0.9614900281536136
2014-01-09,1.0033928635546976,0.9570328079802864,1.1284682102109074,1.328629986353086,-0.8554892719959972
2014-01-16,1.0654390284381186,0.8690536726031989,1.1015404118931253,1.4572395801427234,-0.9002551928368702
2014-01-23,1.0530939798341985,1.1488457463948851,1.3364823701139055,1.5278240398395886,-1.054626587402771
2014-01-30,1.0965124518261193,0.9932449942974754,1.4277482367784737,1.5800679210587774,-1.1214355558103812
2014-02-06,1.1590158946724158,1.1271804237768763,1.5130453864959361,1.6872488548080553,-1.0591646154743026
2014-02-13,1.1660512881496672,1.6194860791059125,1.6854365713185966,1.7596517923211108,-1.1396693284436394
2014-02-20,1.1819685507800561,1.2899636233375302,1.5934191404690583,1.8227432102439236,-1.0518534174886256
2014-02-27,1.326818625812973,1.2081735957158586,1.6064434336343325,1.9284095479809036,-0.8930138845058702
2014-03-06,1.2369584863853549,0.7775638779585208,1.479515749133298,1.853888667934462,-0.8472493592719825
2014-03-13,1.262273818229464,0.2839013893568517,1.2949479433410975,1.8683679007265983,-0.9375634772882179
2014-03-20,1.3159127271282123,0.06212742374539271,1.160133382665024,1.9107554918296978,-1.0167455236369016
2014-03-27,1.2684555256677976,-0.13413449988901527,0.9963246743670993,1.8882312378265433,-1.0184396324193141
2014-04-03,1.2008404063091327,-0.30786318389357176,0.8236242439741779,1.7867524928884062,-0.948900106321839
2014-04-10,1.0934190252092866,-0.4640683666965517,0.6599705508204214,1.6496479093660876,-0.7304337626358969
2014-04-17,1.0774247276942583,-0.5974016983001562,0.5079806856690326,1.6258192204911235,-0.7371517349152084
2014-04-24,1.0187058176538084,-0.6569707821627881,0.388392925339909,1.4926486203473683,-0.7237207300104844
2014-05-01,0.9955217201268318,-0.5422623293156901,0.29763050027197374,1.3524864775713152,-0.6625883453208357
2014-05-08,0.9698587514342148,-0.5880249816123994,0.16488546663954978,1.2244392197628233,-0.5244915310606583
2014-05-15,0.9601781617508467,-0.5918079174677572,0.06462610014809667,1.0971484685652984,-0.332433750787156
2014-05-22,0.9283213040595412,-0.5764205970027947,-0.030792244360180458,1.0020949955502223,0.10748791872522179
2014-05-29,0.8611576056440935,-0.6034388220727973,-0.14257990377556504,0.9005791393361072,0.33340592748243314
2014-06-05,0.8404185261828357,-0.7797863446423579,-0.24367467273424187,0.7731833020715078,0.534383446187347
2014-06-12,0.7791823896314338,-0.9185607830598013,-0.3494409214549793,0.6212670832080627,0.7129183380130713
2014-06-19,0.7474538459212907,-1.036872093448532,-0.4502525186342105,0.5153594742568886,0.9407413281251391
2014-06-26,0.7398457605168487,-1.0177317481849428,-0.5356132567802192,0.42355020815667366,1.0133726308783204
2014-07-03,0.7457446184200853,-0.8330548329156988,-0.5976860103597694,0.34372488889664005,0.9843144823469092
2014-07-10,0.801469971901027,-0.1443307854711228,-0.5953906258605814,0.2766404964154489,1.060048472727952
2014-07-17,0.8429949866228752,-0.3046739795556478,-0.6295483599984216,0.20886667308261322,1.0633507780679825
2014-07-24,0.8260328595428806,-0.2454425454592104,-0.6309699346727775,0.1330814229211037,1.078902232665794
2014-07-31,0.7702233680527368,-0.07421549528389378,-0.6022744758749032,0.08899308273420932,1.1136098594288262
2014-08-07,0.7799283013293034,-0.1970037258046495,-0.5931673448737466,0.06348565568534009,1.0157786105083693
2014-08-14,0.9506528172876858,-0.007925922456146095,-0.47088128653856154,0.011927446508497447,1.0795496693448339
