date_mesure;09145X0057_N210;09145X0059_N340;09662X0038_F41;09964X0020_PZ1;08688X0023_PZ1;09665X0073_203;09437X0036_23P
2012-04-08;-2.88;-3.4657142857142857;-5.654285714285714;-29.212857142857143;-3.2014285714285715;-3.744285714285714;-4.284285714285714
2012-04-12;-2.891428571428572;-3.46;-5.631428571428572;-29.197857142857142;-3.185714285714286;-3.6471428571428572;-4.2542857142857144
2012-04-15;-2.9214285714285717;-3.454285714285714;-5.608571428571429;-29.18285714285714;-3.1700000000000004;-3.5500000000000003;-4.224285714285714
2012-04-19;-2.9514285714285715;-3.4657142857142857;-5.614285714285715;-29.405714285714286;-3.1621428571428574;-3.5764285714285715;-4.175000000000001
2012-04-22;-2.962142857142857;-3.4771428571428573;-5.62;-29.62857142857143;-3.154285714285714;-3.6028571428571428;-4.125714285714286
2012-04-26;-2.9728571428571433;-3.475714285714286;-5.616428571428571;-29.317142857142855;-3.0828571428571427;-3.6221428571428573;-4.105
2012-04-29;-2.9492857142857147;-3.474285714285714;-5.612857142857143;-29.005714285714284;-3.0114285714285716;-3.641428571428572;-4.0842857142857145
2012-05-03;-2.9257142857142857;-3.447857142857143;-5.599285714285715;-28.64785714285714;-2.937857142857143;-3.6221428571428573;-4.045714285714286
2012-05-06;-2.9457142857142857;-3.4214285714285713;-5.585714285714286;-28.29;-2.8642857142857143;-3.6028571428571428;-4.007142857142857
2012-05-10;-2.9657142857142857;-3.422142857142857;-5.565714285714286;-28.535714285714285;-2.88;-3.6357142857142857;-4.0528571428571425
2012-05-13;-2.942142857142857;-3.422857142857143;-5.545714285714285;-28.78142857142857;-2.8957142857142855;-3.6685714285714286;-4.098571428571429
2012-05-17;-2.9185714285714286;-3.46;-5.536428571428571;-29.224285714285713;-2.9578571428571427;-3.7214285714285715;-4.126428571428571
2012-05-20;-2.88;-3.4971428571428573;-5.527142857142857;-29.667142857142856;-3.02;-3.7742857142857145;-4.154285714285714
2012-05-24;-2.8414285714285716;-3.458571428571429;-5.493571428571428;-29.67857142857143;-2.9835714285714285;-3.6871428571428573;-4.161428571428571
2012-05-27;-2.9242857142857144;-3.4200000000000004;-5.46;-29.69;-2.947142857142857;-3.6;-4.168571428571428
2012-05-31;-3.007142857142857;-3.455714285714286;-5.41;-29.772857142857145;-2.987857142857143;-3.632857142857143;-4.1414285714285715
2012-06-03;-3.043571428571428;-3.4914285714285715;-5.36;-29.85571428571429;-3.0285714285714285;-3.665714285714286;-4.114285714285715
2012-06-07;-3.0799999999999996;-3.5292857142857144;-5.322857142857143;-29.73857142857143;-3.0757142857142856;-3.730714285714286;-4.1607142857142865
2012-06-10;-3.1278571428571427;-3.567142857142857;-5.285714285714286;-29.62142857142857;-3.1228571428571428;-3.795714285714286;-4.207142857142857
2012-06-14;-3.1757142857142857;-3.6028571428571428;-5.261428571428572;-29.622857142857143;-3.1414285714285715;-3.849285714285714;-4.173571428571428
2012-06-17;-3.237142857142857;-3.6385714285714283;-5.2371428571428575;-29.624285714285715;-3.16;-3.902857142857143;-4.14
2012-06-21;-3.2985714285714285;-3.687142857142857;-5.202142857142857;-29.642142857142858;-3.182142857142857;-3.9664285714285716;-3.992142857142857
2012-06-24;-3.347857142857143;-3.7357142857142853;-5.167142857142857;-29.66;-3.204285714285714;-4.03;-3.8442857142857143
2012-06-28;-3.3971428571428572;-3.8078571428571424;-5.144285714285715;-29.32;-3.2199999999999998;-4.095714285714285;-3.575
2012-07-01;-3.4250000000000003;-3.88;-5.121428571428572;-28.98;-3.2357142857142853;-4.161428571428571;-3.3057142857142856
2012-07-05;-3.4528571428571433;-3.8914285714285715;-5.128571428571429;-29.110714285714288;-3.2407142857142857;-4.191428571428571;-3.426428571428571
2012-07-08;-3.5121428571428575;-3.902857142857143;-5.135714285714286;-29.24142857142857;-3.2457142857142856;-4.2214285714285715;-3.5471428571428567
2012-07-12;-3.5714285714285716;-3.962857142857143;-5.137857142857143;-28.902857142857144;-3.2649999999999997;-4.264285714285714;-3.6778571428571425
2012-07-15;-3.630714285714286;-4.022857142857143;-5.14;-28.564285714285713;-3.2842857142857143;-4.307142857142857;-3.8085714285714287
2012-07-19;-3.69;-4.075714285714286;-5.132857142857143;-28.470714285714287;-3.3;-4.369285714285715;-3.72
2012-07-22;-3.7350000000000003;-4.128571428571428;-5.125714285714286;-28.37714285714286;-3.315714285714286;-4.4314285714285715;-3.6314285714285717
2012-07-26;-3.7800000000000002;-4.1899999999999995;-5.155;-28.519285714285715;-3.325;-4.484999999999999;-3.5428571428571427
2012-07-29;-3.815714285714286;-4.251428571428571;-5.184285714285714;-28.66142857142857;-3.334285714285714;-4.538571428571428;-3.454285714285714
2012-08-02;-3.8514285714285714;-4.274285714285714;-5.168571428571429;-28.64428571428571;-3.3535714285714286;-4.591428571428571;-3.3657142857142857
2012-08-05;-3.8728571428571428;-4.297142857142857;-5.152857142857143;-28.627142857142854;-3.3728571428571428;-4.644285714285714;-3.277142857142857
2012-08-09;-3.894285714285714;-4.317857142857143;-5.162142857142857;-28.60285714285714;-3.3778571428571427;-4.6971428571428575;-3.2654761904761904
2012-08-12;-3.922142857142857;-4.338571428571429;-5.171428571428572;-28.57857142857143;-3.382857142857143;-4.75;-3.2538095238095237
2012-08-16;-3.9499999999999997;-4.3585714285714285;-5.1692857142857145;-28.564285714285717;-3.3928571428571432;-4.8028571428571425;-3.242142857142857
2012-08-19;-3.96;-4.378571428571428;-5.167142857142857;-28.55;-3.402857142857143;-4.855714285714286;-3.2304761904761903
2012-08-23;-3.9699999999999998;-4.387142857142857;-5.166428571428572;-28.89;-3.41;-4.911428571428572;-3.2188095238095236
2012-08-26;-3.9328571428571424;-4.395714285714286;-5.165714285714286;-29.23;-3.4171428571428573;-4.967142857142858;-3.207142857142857
2012-08-30;-3.8957142857142855;-4.326428571428572;-5.199285714285715;-29.02285714285714;-3.3892857142857142;-4.974285714285715;-3.287857142857143
2012-09-02;-3.8778571428571427;-4.257142857142857;-5.232857142857143;-28.815714285714286;-3.3614285714285717;-4.981428571428571;-3.3685714285714283
2012-09-06;-3.86;-4.21;-5.264285714285714;-28.645714285714284;-3.3764285714285713;-4.942857142857143;-3.407142857142857
2012-09-09;-3.86;-4.162857142857143;-5.295714285714285;-28.475714285714286;-3.391428571428571;-4.904285714285714;-3.4457142857142857
2012-09-13;-3.86;-4.157142857142857;-5.314285714285714;-28.462142857142858;-3.411428571428571;-4.944285714285714;-3.4571428571428573
2012-09-16;-3.8464285714285715;-4.151428571428571;-5.332857142857143;-28.448571428571427;-3.4314285714285715;-4.984285714285714;-3.468571428571429
2012-09-20;-3.8328571428571427;-4.156428571428571;-5.372142857142857;-29.149285714285714;-3.4457142857142857;-5.019285714285714;-3.5064285714285717
2012-09-23;-3.7649999999999997;-4.161428571428571;-5.411428571428572;-29.85;-3.46;-5.054285714285714;-3.5442857142857145
2012-09-27;-3.697142857142857;-4.117142857142857;-5.441428571428571;-29.84375;-3.362857142857143;-5.064285714285714;-3.7164285714285716
2012-09-30;-3.6657142857142855;-4.072857142857143;-5.471428571428571;-29.837500000000002;-3.2657142857142856;-5.074285714285714;-3.8885714285714283
2012-10-04;-3.6342857142857143;-4.035714285714286;-5.474285714285714;-29.83125;-3.297142857142857;-5.002857142857142;-3.9814285714285713
2012-10-07;-3.615;-3.998571428571428;-5.477142857142858;-29.825000000000003;-3.3285714285714287;-4.931428571428571;-4.074285714285714
2012-10-11;-3.5957142857142856;-3.9764285714285714;-5.487857142857143;-29.81875;-3.3564285714285713;-4.937142857142857;-4.115
2012-10-14;-3.577857142857143;-3.954285714285714;-5.498571428571429;-29.8125;-3.384285714285714;-4.942857142857143;-4.155714285714286
