date_mesure,A,F,E,B,D,C
2015-01-15,0.8426151471305436,0.9200989843157987,0.6887549112171374,0.9008873269394821,0.04931742992877641,0.3973050039726651
2015-01-22,0.7635798792809574,0.9144805917731876,0.6032586238081665,0.8327616082812171,0.07672141495189533,0.43063076621497626
2015-01-29,1.2583971486414036,1.1355172858474145,0.787475805011774,1.0209378711483064,0.3198695487613832,0.8667103543242205
2015-02-05,1.0061689396489804,1.0490264026471887,0.6192367660412694,0.9426931904322938,0.3977142985293561,0.8383588698552805
2015-02-12,0.8455977869291565,1.068384641005192,0.6389718369289079,0.9822357380355861,0.4370558462137595,0.8378064130396585
2015-02-19,1.0729846185643501,1.1729453594915746,0.7049926828579444,1.0618258801808815,0.5348713563589953,0.993174091203887
2015-02-26,1.4665983607192083,1.267918515152102,0.6780014787668678,1.1608614944451423,0.7614334494725747,1.289909552942467
2015-03-05,1.3472314144918933,1.2984773341155122,0.6437087408204951,1.2122840100739096,0.9519372120120762,1.3582990116855786
2015-03-12,0.9948744742164504,1.2924705805921077,0.6762544917809861,1.2421846109639993,0.9825008173976957,1.2225505207295042
2015-03-19,0.7833445228939051,1.310912014743932,0.7500090210545762,1.283477941008074,0.9592192108877736,1.1362519272118206
2015-03-26,0.6771826469563398,1.2591205765020606,0.6322595745179107,1.2728142624855463,0.8873893757067775,1.0233959395743213
2015-04-02,0.5982979118241443,1.2456288092246366,0.6557228117758637,1.2739832894606766,0.8770181226374261,0.9998294620076835
2015-04-09,0.3811722333400334,1.1656199864744639,0.5971523194678529,1.2433477219145574,0.7994550097404338,0.8653611570651402
2015-04-16,0.2887208456252315,1.1477787252956837,0.613873328903078,1.2319074499830576,0.7369616096172273,0.8189250490324014
2015-04-23,0.20637800090543518,1.080066752263418,0.5922992893788814,1.2176771146360807,0.6984280817428281,0.7541743232534048
2015-04-30,0.6874853117812085,1.1602665204795202,0.6447031449589766,1.283846448877341,0.7570900742106861,0.8446784307689736
2015-05-07,0.6518494939093465,1.1210066215830514,0.5379734557062874,1.2203418203105016,0.7283610562364647,0.7695952957156622
2015-05-14,0.4119538102120176,1.0851761378369267,0.5152939879298992,1.1830460584699292,0.6546572317444397,0.6712274182386027
2015-05-21,0.1894097246322204,1.0003348670367793,0.4180977989122657,1.1433212371142052,0.5501499750797665,0.5298773084803032
2015-05-28,-0.013561603521432819,0.802843604995503,0.3762071549415583,1.071917676870552,0.42543306829145555,0.4132458367923921
2015-06-04,-0.18536261829499515,0.41772893181939225,0.2543393382604344,0.9581743503677129,0.30022394177245565,0.22251517806402496
2015-06-11,-0.056562814355249846,0.5187170551305931,0.26357286821826403,0.9926658207352372,0.3229150969828414,0.24132938205140295
2015-06-18,-0.16791159305252762,0.4490765579742886,0.14839194238804598,0.953135193676188,0.28262651240933534,0.13823784041085044
2015-06-25,-0.44422044205333294,-0.1296585066813446,0.02511143302129172,0.7645296846412737,0.08244023456660843,-0.06674488282514035
2015-07-02,-0.6515233378622054,-0.7018776581090238,-0.09919048555365245,0.5488173671045784,-0.07683882102911274,-0.25310192675631676
2015-07-09,-0.8325982372717988,-1.1150928381733007,-0.2550981241743179,0.37146827190017073,-0.2061637320346672,-0.46427464267462604
2015-07-16,-0.9468187543952529,-1.3809967548313797,-0.3534958878226348,0.2650859093064455,-0.35900921075252756,-0.627052446915257
2015-07-23,-1.0511213044175411,-1.5168449224253417,-0.4065082950705298,0.26182901749387477,-0.4459356772450722,-0.768446699845158
2015-07-30,-1.0854371215780032,-1.501707401496235,-0.4236514987438843,0.22561918911270706,-0.48785733407867415,-0.8512233502024529
2015-08-06,-1.060710653677607,-1.4698881107185127,-0.45101251080029575,0.18583824228974932,-0.5531114786530656,-0.9080380522534115
2015-08-13,-0.9404412886481444,-1.1048500911101113,-0.40405161986630433,0.2818216379049947,-0.5085154209998093,-0.864675314582293
2015-08-20,-0.9664754578547556,-0.9863979013506761,-0.3948042564036166,0.2844371406027464,-0.5302892602282564,-0.9357483200040797
2015-08-27,-0.9209140766664698,-0.9029309399644173,-0.4157692247888524,0.19727033358191148,-0.5369879590629003,-0.9926231582289526
2015-09-03,-0.9310649353922316,-0.7232895548595931,-0.5060740375636515,0.2353685441383142,-0.544517101215797,-1.0381902433642551
2015-09-10,-0.8831903544574005,-0.5041188701894036,-0.44468100167924995,0.2982596866023832,-0.546922255128124,-1.0148033049785687
2015-09-17,-0.530952662101921,-0.3443619635877436,-0.5181664611217929,0.2816580528944488,-0.5312243139565472,-0.980284354365365
2015-09-24,-0.5798482382615974,-0.2631667009332536,-0.5310039903395144,0.2626809952819441,-0.5429616487867411,-1.0000310796487202
